subject,stage,chan,P1_window,N1_window,P2_window,N2_window,MMN1_window,P1_975,P1_1000,P1_1025,N1_975,N1_1000,N1_1025,P2_975,P2_1000,P2_1025,N2_975,N2_1000,N2_1025,MMN1_975,MMN1_975_latency,MMN1_1025,MMN1_1025_latency,P1-N1_975,P1-N1_1000,P1-N1_1025
1,long-term,FC3,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",5.607761458724466,6.873653495194848,7.350621697989602,3.437941420095261,4.756793944321274,4.944564900492148,1.4778780398042988,3.6937115957603774,4.138339839660103,-7.344136144020961,-6.9391517891350105,-7.613352356209787,-2.1570927361833694,200.0,-2.9034524505252737,356.0,2.1698200386292052,2.116859550873574,2.4060567974974543
2,before,FC4,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",2.2308575426781707,3.2179414399973307,4.09547969385816,0.9775447883437928,0.4962215350142207,-0.08048635457378203,2.7993488335447747,2.0789814764559784,2.1416674818328008,-5.241414940678232,-4.610826808095937,-5.229380016953182,-0.9175368902641615,202.0,-2.321893439556368,292.0,1.2533127543343778,2.72171990498311,4.175966048431943
2,before,F3,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",3.4235375476530785,4.6995926455205534,4.798891460934363,2.7839671289561134,0.8854624766662571,0.8262046117095337,1.4968453783647495,1.4676578758051158,1.8700838071738783,-4.944931962074934,-4.175249475300139,-4.109780693955204,-2.393328623969193,206.0,-1.5846503362436624,296.0,0.6395704186969651,3.8141301688542963,3.972686849224829
2,before,F4,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",2.150154459450146,3.5588393658092463,4.7580055203321985,1.4213455587516248,0.32484468731114496,0.6695061916462255,1.5379037461364031,1.4806179136626552,2.3108689689857536,-6.096389884080763,-4.990844001738604,-5.166305048748238,-1.5788746699041365,200.0,-2.0335912075091716,298.0,0.7288089006985212,3.2339946784981013,4.088499328685973
2,before,C3,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",2.5584602070901807,2.787083179498423,1.9396885919177589,1.685488455669029,0.97497594223684,-1.3771101038528666,2.3718639789287463,1.9593976854981847,1.2017246540040776,-3.7658557983794942,-3.0279993238170833,-4.571799693885037,-1.3190172771643252,206.0,-2.5123551536958817,284.0,0.8729717514211517,1.8121072372615832,3.3167986957706255
2,before,C4,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",1.6335690448119868,2.554785180817357,3.0482304950315067,0.6896851532040773,0.5310529640820003,-0.4482456088180696,2.525603827438339,2.0195473548422127,1.6874850988550891,-4.430859501272533,-4.185717926634651,-4.406020615895944,-0.8134338349065633,278.0,-1.9175214244328889,288.0,0.9438838916079095,2.0237322167353566,3.4964761038495764
2,before,Fz,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",2.9528732271094986,4.053130311476549,4.681625577565528,1.242884389787236,0.4656292826359546,0.4602694449962632,1.9602605950027776,2.155112429810785,3.3417508224594403,-6.0736160216954085,-5.3677823501038135,-4.721452915279311,-1.8583075128714064,204.0,-1.0470271500262662,294.0,1.7099888373222627,3.5875010288405944,4.221356132569265
2,before,Cz,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",2.076522634032615,2.5949351348173835,2.242324480840415,1.2297846176550604,0.6878943417918529,-1.6642080837791082,3.476462686599393,3.1469203164085275,2.2228202542607955,-5.3856761101010076,-4.878317002874745,-5.395158647539934,-1.2843548815982424,274.0,-2.5429180358412684,288.0,0.8467380163775546,1.9070407930255304,3.906532564619523
2,before,FCz,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",2.9895924833516863,3.7706800990122167,3.57796316908319,1.7000687375476522,0.6953729056849063,-0.813809455666702,3.2983414189946405,3.0486359664855978,2.692286207820481,-5.860945648398232,-5.324802081427701,-5.573488935947533,-1.303499499992002,204.0,-2.006660337363436,292.0,1.289523745804034,3.07530719332731,4.391772624749892
2,before,FC3,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",3.2065118327885265,3.8586017822773258,3.3328445133230145,2.0784960945922184,1.0521754941520438,-0.1953390886248285,2.044561761044267,1.9923624449417576,1.759084698899555,-4.449619011620873,-3.7675940421938168,-4.668462850298399,-1.9390992549704325,206.0,-1.9415872962480138,282.0,1.128015738196308,2.806426288125282,3.528183601947843
2,after,FC4,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",2.6773372312213937,3.7253957271396274,3.0090188799303763,-0.8814180993048684,1.0108855140130415,-0.6595217362617071,2.67071063449748,2.7087667734792293,1.1270923074710706,-5.868184206803782,-4.543543784481939,-6.306175078021687,-2.4338526588353573,398.0,-2.9501844547114833,332.0,3.558755330526262,2.714510213126586,3.6685406161920833
2,after,F3,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",4.412166187147204,4.254544096788498,3.9919455611737855,0.2196390996345457,1.6431719775336169,0.10614878166250967,2.693555888076188,1.8059840232202555,0.6333318507609621,-5.410213538612448,-4.553295203407264,-5.290310783020447,-1.967694199409806,398.0,-1.7440999356591131,286.0,4.192527087512659,2.6113721192548813,3.885796779511276
2,after,F4,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",3.8549374034361565,3.9326158235935513,3.669426469513165,-0.7034599438364322,1.0593882890232782,-0.9191776440165536,3.4054570829709543,1.7240124983877607,-0.1836711143527715,-6.587117413462491,-5.100811014036701,-6.427555946730817,-2.2106130920029705,398.0,-3.1441031789162954,330.0,4.558397347272589,2.8732275345702734,4.588604113529718
2,after,C3,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",2.5289640098552586,2.700952118544525,1.7415391102537752,0.07216994304348494,0.852486389641825,-0.7437780508139664,2.582491230959584,2.367220323600545,0.8698308499705647,-4.244438989183018,-2.980174588747024,-4.74010894763578,-1.7267747432993894,398.0,-1.8678389484781581,230.0,2.456794066811774,1.8484657289027,2.4853171610677416
